Sku,,Description,Image,Category,Brand,Price,Stock
PB206YB1,Dorman Smith Loadbank YB1 6 way 250A panel board PB206YB1,"The Loadbank 250 modular enclosure system is engineered to provide the unrivalled flexibility and build simplicity needed in order to produce a wide range of power distribution solutions. It consists of TP&N busbars of 400A and 800A with three different sizes of 6, 12 or 18 outgoing ways.

This range houses the incoming and outgoing devices in separate adjoining enclosures which then allows the widest range of possible circuit permutations, including oversized outgoing circuits, which can then be accommodated within a common format.

Incoming options range from 250A MCCBs to 800A switch fuses depending on the board. There is a single frame size MCCB for outgoing devices which is the YB3 frame MCCB up to 250A.

The standard finish is epoxy powder coating in light grey RAL 7035.

Compliance
• Panel Boards EN 61439-1
• MCCBs EN 60947-3",http://dormansmithswitchgear.com/wp/wp-content/uploads/2014/10/loadbank250_main.jpg,Panel Boards,Dorman Smith,692.61,123
PB208YB1,Dorman Smith Loadbank YB1 8 way 250A panel board PB208YB1,"The Loadbank 250 modular enclosure system is engineered to provide the unrivalled flexibility and build simplicity needed in order to produce a wide range of power distribution solutions. It consists of TP&N busbars of 400A and 800A with three different sizes of 6, 12 or 18 outgoing ways.

This range houses the incoming and outgoing devices in separate adjoining enclosures which then allows the widest range of possible circuit permutations, including oversized outgoing circuits, which can then be accommodated within a common format.

Incoming options range from 250A MCCBs to 800A switch fuses depending on the board. There is a single frame size MCCB for outgoing devices which is the YB3 frame MCCB up to 250A.

The standard finish is epoxy powder coating in light grey RAL 7035.

Compliance
• Panel Boards EN 61439-1
• MCCBs EN 60947-4",http://dormansmithswitchgear.com/wp/wp-content/uploads/2014/10/loadbank250_main.jpg,Panel Boards,Dorman Smith,805.44,123
PB212YB1,Dorman Smith Loadbank YB1 12 way 250A panel board PB212YB1,"The Loadbank 250 modular enclosure system is engineered to provide the unrivalled flexibility and build simplicity needed in order to produce a wide range of power distribution solutions. It consists of TP&N busbars of 400A and 800A with three different sizes of 6, 12 or 18 outgoing ways.

This range houses the incoming and outgoing devices in separate adjoining enclosures which then allows the widest range of possible circuit permutations, including oversized outgoing circuits, which can then be accommodated within a common format.

Incoming options range from 250A MCCBs to 800A switch fuses depending on the board. There is a single frame size MCCB for outgoing devices which is the YB3 frame MCCB up to 250A.

The standard finish is epoxy powder coating in light grey RAL 7035.

Compliance
• Panel Boards EN 61439-1
• MCCBs EN 60947-5",http://dormansmithswitchgear.com/wp/wp-content/uploads/2014/10/loadbank250_main.jpg,Panel Boards,Dorman Smith,965.96,123
PB406YB1,Dorman Smith Loadbank YB1 6 way 400A panel board PB406YB1,"The Loadbank 250 modular enclosure system is engineered to provide the unrivalled flexibility and build simplicity needed in order to produce a wide range of power distribution solutions. It consists of TP&N busbars of 400A and 800A with three different sizes of 6, 12 or 18 outgoing ways.

This range houses the incoming and outgoing devices in separate adjoining enclosures which then allows the widest range of possible circuit permutations, including oversized outgoing circuits, which can then be accommodated within a common format.

Incoming options range from 250A MCCBs to 800A switch fuses depending on the board. There is a single frame size MCCB for outgoing devices which is the YB3 frame MCCB up to 250A.

The standard finish is epoxy powder coating in light grey RAL 7035.

Compliance
• Panel Boards EN 61439-1
• MCCBs EN 60947-6",http://dormansmithswitchgear.com/wp/wp-content/uploads/2014/10/loadbank250_main.jpg,Panel Boards,Dorman Smith,337.06,123
PB408YB1,Dorman Smith Loadbank YB1 8 way 400A panel board PB408YB1,"The Loadbank 250 modular enclosure system is engineered to provide the unrivalled flexibility and build simplicity needed in order to produce a wide range of power distribution solutions. It consists of TP&N busbars of 400A and 800A with three different sizes of 6, 12 or 18 outgoing ways.

This range houses the incoming and outgoing devices in separate adjoining enclosures which then allows the widest range of possible circuit permutations, including oversized outgoing circuits, which can then be accommodated within a common format.

Incoming options range from 250A MCCBs to 800A switch fuses depending on the board. There is a single frame size MCCB for outgoing devices which is the YB3 frame MCCB up to 250A.

The standard finish is epoxy powder coating in light grey RAL 7035.

Compliance
• Panel Boards EN 61439-1
• MCCBs EN 60947-7",http://dormansmithswitchgear.com/wp/wp-content/uploads/2014/10/loadbank250_main.jpg,Panel Boards,Dorman Smith,337.06,123
PB412YB1,Dorman Smith Loadbank YB1 12 way 400A panel board PB412YB1,"The Loadbank 250 modular enclosure system is engineered to provide the unrivalled flexibility and build simplicity needed in order to produce a wide range of power distribution solutions. It consists of TP&N busbars of 400A and 800A with three different sizes of 6, 12 or 18 outgoing ways.

This range houses the incoming and outgoing devices in separate adjoining enclosures which then allows the widest range of possible circuit permutations, including oversized outgoing circuits, which can then be accommodated within a common format.

Incoming options range from 250A MCCBs to 800A switch fuses depending on the board. There is a single frame size MCCB for outgoing devices which is the YB3 frame MCCB up to 250A.

The standard finish is epoxy powder coating in light grey RAL 7035.

Compliance
• Panel Boards EN 61439-1
• MCCBs EN 60947-8",http://dormansmithswitchgear.com/wp/wp-content/uploads/2014/10/loadbank250_main.jpg,Panel Boards,Dorman Smith,337.06,123
YB3B3P250D,Dorman Smith YB3 3-pole 250A Switch disconnector YB3B3P250D,"Exceeds the requirements of EN60947-2
Max current rating: 250A",https://storage.electrika.com/manu/man-0160/picsprod/yb33p_1_p9ipo2.jpg,Switchgear & Distribution,Dorman Smith,214.36,123
YA5B3P400D,Dorman Smith YA5 400A 3-pole switch disconnector YA5B3P400D,"Exceeds the requirements of EN60947-2
Max current rating: 400A",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500176885/FULL,Switchgear & Distribution,Dorman Smith,21.61,123
YB1NL,Dorman Smith YB1 neutral link YB1NL,,,MCCB General Purpose Enclosure,Dorman Smith,21.61,123
YB3NL,Dorman Smith YB3 Neutral Link YB3NL,,,MCCB General Purpose Enclosure,Dorman Smith,32.96,123
YA5NL,Dorman Smith YA5 neutral link YA5NL,,,MCCB General Purpose Enclosure,Dorman Smith,21.61,123
